Zeitung (Vorlage);Verlag-Feld;Gruppe;Vorschlag Hotline;Vorschlag 0137 (Frage 1);Sicherheit;KORREKTUR: richtige Hotline/0137
Augsburger Allgemeine;Augsburger Allgemeinen;AUGSBURGER;Augsburger Allgemeine;01378 005561;SICHER;
OTZ;Funke;FUNKE;Ostthüringer Zeitung;01379 441291;SICHER;
TA;Funke;FUNKE;Thüringer Allgemeine;01379 441281;SICHER;
TLZ;Funke;FUNKE;Thüringische Landeszeitung;01379 441271;SICHER;
Allgemeine Zeitung der Lüneburger Heide;Ippen;IPPEN;Saarbrücker Zeitung;01378 806171;BITTE PRÜFEN;
AltmarkZeitung;Ippen;IPPEN;Schwarzwälder Bote (Die Oberbadische/Markgräfler Tagblatt laufen unter SB);01378 408171;BITTE PRÜFEN;
Fehmarnsches-Tageblatt;Ippen;IPPEN;Schwarzwälder Bote (Die Oberbadische/Markgräfler Tagblatt laufen unter SB);01378 408171;BITTE PRÜFEN;
Frankfurter-Neue-Presse;Ippen;IPPEN;Neue Presse;01378 408371;SICHER;
Frankfurter-Rundschau;Ippen;IPPEN;Frankfurter Rundschau GmbH;01378 405681;SICHER;
Giessener-Alsfelder;Ippen;IPPEN;Saarbrücker Zeitung;01378 806171;BITTE PRÜFEN;
Giessener-Anzeiger;Ippen;IPPEN;Hanauer Anzeiger GmbH & Co.KG ;01378 404381;BITTE PRÜFEN;
HNA;Ippen;IPPEN;Thüringer Allgemeine;01379 441281;BITTE PRÜFEN;
Hanauer-Anzeiger;Ippen;IPPEN;Hanauer Anzeiger GmbH & Co.KG ;01378 404381;SICHER;
Hersfelder-Zeitung;Ippen;IPPEN;Hoehl-Druck GmbH + Co. Hersfelder Zeitung KG;01378 406281;SICHER;
Isenhagener Kreisblatt;Ippen;IPPEN;Haller Kreisblatt;01378 608371;BITTE PRÜFEN;
Karl-Sasse-Verlage;Ippen;IPPEN;Karl Sasse GmbH & Co. KG;01378 403891;SICHER;
Kreiszeitung-Verlag;Ippen;IPPEN;Kreiszeitung Verlagsgesellschaft mbH & Co. KG;01378 403791;SICHER;
Leine-Deister-Zeitung;Ippen;IPPEN;Saarbrücker Zeitung;01378 806171;BITTE PRÜFEN;
Maerkische-Z;Ippen;IPPEN;sh:z;01378 802781;BITTE PRÜFEN;
Muenchner-Merkur;Ippen;IPPEN;Pfälzischer Merkur;01378 806371;BITTE PRÜFEN;
Oberbayerisches-Volksblatt;Ippen;IPPEN;Schwarzwälder Bote (Die Oberbadische/Markgräfler Tagblatt laufen unter SB);01378 408171;BITTE PRÜFEN;
Oberhessische-Lauterbacher;Ippen;IPPEN;Schwarzwälder Bote (Die Oberbadische/Markgräfler Tagblatt laufen unter SB);01378 408171;BITTE PRÜFEN;
Offenbach-Post;Ippen;IPPEN;Schwarzwälder Bote (Die Oberbadische/Markgräfler Tagblatt laufen unter SB);01378 408171;BITTE PRÜFEN;
Soester-Anzeiger;Ippen;IPPEN;Hanauer Anzeiger GmbH & Co.KG ;01378 404381;BITTE PRÜFEN;
TZ;Ippen;IPPEN;Zeitungsverlag tz  GmbH & Co. KG;01378 403881;BITTE PRÜFEN;
Usinger-Kreis;Ippen;IPPEN;Schwarzwälder Bote (Die Oberbadische/Markgräfler Tagblatt laufen unter SB);01378 408171;BITTE PRÜFEN;
Waldeckische-Landeszeitung;Ippen;IPPEN;Thüringische Landeszeitung;01379 441271;BITTE PRÜFEN;
Werra-Rundschau;Ippen;IPPEN;Werra Verlag Kluthe GmbH & Co. KG;01378 406181;BITTE PRÜFEN;
Westfaelischer-Anz;Ippen;IPPEN;Westfälischer Anzeiger Verlagsgesellschaft mbH & Co. KG;01378 406581;SICHER;
Wetterauer-Butzbacher;Ippen;IPPEN;Schwarzwälder Bote (Die Oberbadische/Markgräfler Tagblatt laufen unter SB);01378 408171;BITTE PRÜFEN;
Wildeshauser-Zeitung;Ippen;IPPEN;Saarbrücker Zeitung;01378 806171;BITTE PRÜFEN;
n/a;Neue-Westfaeische;Neue-Westfaeische;Neue Presse;01378 408371;BITTE PRÜFEN;
Nürnberg;Nürnberg;NUERNBERG;Nürnberg;01378 220271;SICHER;
n/a;Rhein Zeitung;RHEIN-Z;A.Beig;01378 804771;BITTE PRÜFEN;
PM;SAAR;SAAR;Pfälzischer Merkur;01378 806371;SICHER;
SZ;SAAR;SAAR;Saarbrücker Zeitung;01378 806171;SICHER;
TV;SAAR;SAAR;Trierischer Volksfreund;01378 806271;SICHER;
Beig;SHZ;SHZ;A.Beig;01378 804771;BITTE PRÜFEN;
NOZ;SHZ;SHZ;NOZ;01378 805771;SICHER;
SHZ;SHZ;SHZ;Zeitungsverlag tz  GmbH & Co. KG;01378 403881;BITTE PRÜFEN;
Die Oberbadische, Markgräfler Tagblatt, Weiler Zeitung;SWMH;SWMH;Schwarzwälder Bote (Die Oberbadische/Markgräfler Tagblatt laufen unter SB);01378 408171;BITTE PRÜFEN;
Frankenpost;SWMH;SWMH;Frankenpost;01378 408271;SICHER;
Neue Presse;SWMH;SWMH;Neue Presse;01378 408371;SICHER;
Nordbayerischer Kurier;SWMH;SWMH;Nordbayerischer Kurier;01378 408571;SICHER;
Schwarzwälder Bote, Neckarquelle, Lahrer Zeitung;SWMH;SWMH;Saarbrücker Zeitung;01378 806171;BITTE PRÜFEN;
Suhler Verlagsgesellschaft;SWMH;SWMH;Suhler Verlagsgesellschaft;01378 408471;SICHER;
Zeitungsgruppe Stuttgart;SWMH;SWMH;Schwarzwälder Bote (Die Oberbadische/Markgräfler Tagblatt laufen unter SB);01378 408171;BITTE PRÜFEN;
SWP;SWP;SWP;SWP;01378 803871;SICHER;

--- REFERENZ: alle verfügbaren 0137-Hotlines ---
Hotline-Verlag;0137-Stamm (Frage1..5);Service 0800
Schwarzwälder Bote (Die Oberbadische/Markgräfler Tagblatt laufen unter SB);01378 408171 … 01378 408175;0800-2224449
Frankenpost;01378 408271 … 01378 408275;
Neue Presse;01378 408371 … 01378 408375;
Suhler Verlagsgesellschaft;01378 408471 … 01378 408475;
Nordbayerischer Kurier;01378 408571 … 01378 408575;
SWP;01378 803871 … 01378 803875;0800-7779889
Saarbrücker Zeitung;01378 806171 … 01378 806175;0800-2223385
Trierischer Volksfreund;01378 806271 … 01378 806275;
Pfälzischer Merkur;01378 806371 … 01378 806375;
sh:z;01378 802781 … 01378 802785;0800-2223365
A.Beig;01378 804771 … 01378 804775;
NOZ;01378 805771 … 01378 805775;
Neue Westfälische;01378 608271 … 01378 608275;0800-7779878
Haller Kreisblatt;01378 608371 … 01378 608375;
Mittelrhein;01378 803791 … 01378 803795;0800-1088100
Nürnberg;01378 220271 … 01378 220275;0800-1011326
Thüringische Landeszeitung;01379 441271 … 01379 441275;0800-7779872
Thüringer Allgemeine;01379 441281 … 01379 441285;
Ostthüringer Zeitung;01379 441291 … 01379 441295;
Augsburger Allgemeine;01378 005561 … 01378 005565;0800-2001199
C. Beckers Buchdruckerei GmbH & Co. KG;01378 403781 … 01378 403785;0800-2223384
Zeitungsverlag tz  GmbH & Co. KG;01378 403881 … 01378 403885;
Münchener Zeitungs-Verlag GmbH & Co. KG;01378 403981 … 01378 403985;
Pressehaus Bintz-Verlag GmbH & Co. KG;01378 404281 … 01378 404285;
Hanauer Anzeiger GmbH & Co.KG ;01378 404381 … 01378 404385;
Kreiszeitung Verlagsgesellschaft mbH & Co. KG;01378 403791 … 01378 403795;
Karl Sasse GmbH & Co. KG;01378 403891 … 01378 403895;
Ludwig Löschen GmbH & Co. OHG (Wildeshausener);01378 405181 … 01378 405185;
Frankfurter Societäts-Medien GmbH;01378 405281 … 01378 405285;
Frankfurter Rundschau GmbH;01378 405681 … 01378 405685;
Mittelhessische Druck- und Verlagshaus;01378 405781 … 01378 405785;
GA Media GmbH & Co. KG (Gießener A.);01378 407281 … 01378 407285;
Verlag Dierichs GmbH & Co. KG;01378 405881 … 01378 405885;
Wilhelm Bing, Druckerei und Verlag GmbH;01378 405981 … 01378 405985;
Werra Verlag Kluthe GmbH & Co. KG;01378 406181 … 01378 406185;
Hoehl-Druck GmbH + Co. Hersfelder Zeitung KG;01378 406281 … 01378 406285;
Zeitungsverlag F. Wolff & Sohn KG;01378 406381 … 01378 406385;
Westfälischer Anzeiger Verlagsgesellschaft mbH & Co. KG;01378 406581 … 01378 406585;
Jahn Verlag GmbH & CO. KG;01378 406781 … 01378 406785;
Märkischer Zeitungsverlag GmbH & CO.KG;01378 406881 … 01378 406885;
